Call_ID,Date,Time,Agent,Call_Type,Wait_Time_Seconds,Call_Duration_Seconds,Resolution,Satisfaction_Score
CALL-1000,2024-06-12,09:47,Lisa Martinez,Billing Inquiry,30,199,Escalated,3
CALL-1001,2024-05-31,12:01,Mike Chen,Billing Inquiry,20,179,Resolved,5
CALL-1002,2024-05-19,12:28,Robert Garcia,Technical Support,47,264,Resolved,5
CALL-1003,2024-03-12,10:48,David Brown,Billing Inquiry,31,214,Resolved,4
CALL-1004,2024-01-12,16:34,Mike Chen,General Inquiry,6,151,Escalated,3
CALL-1005,2024-04-02,15:45,Mike Chen,Billing Inquiry,47,224,Resolved,4
CALL-1006,2024-01-26,12:29,David Brown,Billing Inquiry,6,243,Escalated,3
CALL-1007,2024-01-19,15:10,Jennifer White,New Service,55,450,Unresolved,2
CALL-1008,2024-05-22,10:20,Sarah Johnson,Billing Inquiry,62,189,Resolved,3
CALL-1009,2024-05-25,17:20,James Wilson,Account Changes,5,337,Resolved,4
CALL-1010,2024-03-04,16:34,Lisa Martinez,New Service,5,422,Resolved,5
CALL-1011,2024-02-05,14:05,Sarah Johnson,Complaint,51,343,Escalated,3
CALL-1012,2024-04-08,12:29,Jennifer White,Technical Support,5,321,Resolved,4
CALL-1013,2024-05-17,16:49,David Brown,Billing Inquiry,5,203,Unresolved,3
CALL-1014,2024-03-08,19:48,Emily Davis,Technical Support,46,529,Escalated,3
CALL-1015,2024-02-20,10:48,Emily Davis,Technical Support,49,267,Resolved,4
CALL-1016,2024-01-05,09:23,Lisa Martinez,Billing Inquiry,26,249,Resolved,5
CALL-1017,2024-01-18,19:34,Emily Davis,Billing Inquiry,5,190,Resolved,5
CALL-1018,2024-04-18,19:59,Jennifer White,New Service,13,201,Resolved,5
CALL-1019,2024-04-05,13:33,Chris Anderson,Billing Inquiry,27,228,Resolved,4
CALL-1020,2024-02-26,08:45,Sarah Johnson,Billing Inquiry,57,120,Resolved,4
CALL-1021,2024-06-20,13:34,Emily Davis,New Service,44,264,Resolved,5
CALL-1022,2024-04-14,10:06,Amanda Taylor,Technical Support,11,553,Resolved,5
CALL-1023,2024-06-14,09:25,David Brown,Complaint,35,337,Escalated,2
CALL-1024,2024-02-16,11:15,Mike Chen,Technical Support,61,298,Resolved,5
CALL-1025,2024-01-04,19:59,James Wilson,Billing Inquiry,11,183,Resolved,3
CALL-1026,2024-04-07,08:24,Lisa Martinez,General Inquiry,28,91,Resolved,5
CALL-1027,2024-05-22,15:31,Emily Davis,Billing Inquiry,46,198,Escalated,2
CALL-1028,2024-03-21,09:37,Chris Anderson,Technical Support,32,361,Unresolved,1
CALL-1029,2024-02-17,09:04,James Wilson,Technical Support,49,361,Resolved,3
CALL-1030,2024-01-21,12:37,Robert Garcia,Technical Support,37,386,Escalated,2
CALL-1031,2024-04-11,10:41,Lisa Martinez,Technical Support,87,292,Resolved,4
CALL-1032,2024-05-24,19:04,Jennifer White,Billing Inquiry,20,305,Callback Scheduled,3
CALL-1033,2024-04-04,11:28,Jennifer White,New Service,5,154,Resolved,3
CALL-1034,2024-05-21,11:42,Mike Chen,General Inquiry,51,133,Resolved,5
CALL-1035,2024-03-10,11:13,David Brown,Billing Inquiry,34,148,Resolved,5
CALL-1036,2024-01-14,09:27,Lisa Martinez,Billing Inquiry,19,204,Unresolved,1
CALL-1037,2024-04-23,14:27,Jennifer White,Billing Inquiry,81,230,Callback Scheduled,2
CALL-1038,2024-04-04,15:09,Amanda Taylor,Billing Inquiry,29,287,Escalated,4
CALL-1039,2024-04-01,10:15,Mike Chen,Technical Support,7,325,Unresolved,2
CALL-1040,2024-03-01,17:51,Emily Davis,Complaint,57,322,Resolved,5
CALL-1041,2024-06-20,17:51,James Wilson,Technical Support,27,361,Callback Scheduled,3
CALL-1042,2024-02-26,10:58,Chris Anderson,Technical Support,62,189,Resolved,5
CALL-1043,2024-04-12,11:55,Mike Chen,General Inquiry,39,170,Resolved,5
CALL-1044,2024-05-17,11:01,Mike Chen,Complaint,43,418,Unresolved,1
CALL-1045,2024-06-01,13:46,David Brown,Technical Support,34,413,Callback Scheduled,1
CALL-1046,2024-01-12,16:00,Jennifer White,General Inquiry,5,106,Escalated,3
CALL-1047,2024-04-03,13:42,David Brown,Account Changes,19,208,Callback Scheduled,2
CALL-1048,2024-06-19,12:25,Lisa Martinez,Account Changes,35,339,Resolved,5
CALL-1049,2024-02-14,15:19,Amanda Taylor,Technical Support,61,420,Resolved,4
CALL-1050,2024-06-16,11:28,Chris Anderson,Account Changes,9,231,Unresolved,2
CALL-1051,2024-06-17,09:32,Robert Garcia,Technical Support,38,228,Resolved,4
CALL-1052,2024-02-20,10:02,James Wilson,General Inquiry,18,80,Resolved,5
CALL-1053,2024-05-27,10:44,Amanda Taylor,Technical Support,46,603,Resolved,5
CALL-1054,2024-01-28,16:14,Emily Davis,Complaint,17,205,Escalated,4
CALL-1055,2024-02-01,13:51,Chris Anderson,Account Changes,51,232,Unresolved,3
CALL-1056,2024-06-05,17:57,Jennifer White,Technical Support,43,344,Resolved,5
CALL-1057,2024-04-25,11:15,Lisa Martinez,New Service,17,339,Resolved,3
CALL-1058,2024-03-14,11:21,David Brown,Complaint,55,324,Resolved,4
CALL-1059,2024-02-24,09:26,David Brown,Technical Support,13,463,Resolved,5
CALL-1060,2024-05-29,18:01,Robert Garcia,Technical Support,43,424,Escalated,4
CALL-1061,2024-04-17,14:47,Jennifer White,New Service,63,285,Resolved,4
CALL-1062,2024-04-09,11:43,Amanda Taylor,New Service,69,155,Unresolved,2
CALL-1063,2024-04-10,15:42,Sarah Johnson,Billing Inquiry,8,227,Resolved,4
CALL-1064,2024-03-24,10:20,David Brown,New Service,20,484,Escalated,2
CALL-1065,2024-01-21,13:47,Jennifer White,Billing Inquiry,38,168,Resolved,5
CALL-1066,2024-01-11,16:15,James Wilson,Complaint,14,254,Escalated,2
CALL-1067,2024-02-25,13:16,David Brown,Billing Inquiry,5,124,Resolved,5
CALL-1068,2024-03-20,09:01,Lisa Martinez,Account Changes,41,201,Callback Scheduled,1
CALL-1069,2024-05-31,16:40,James Wilson,Billing Inquiry,30,75,Resolved,4
CALL-1070,2024-05-24,16:22,Jennifer White,Technical Support,8,528,Resolved,5
CALL-1071,2024-05-05,09:23,Chris Anderson,New Service,5,429,Unresolved,1
CALL-1072,2024-05-17,16:29,Amanda Taylor,Complaint,10,256,Resolved,5
CALL-1073,2024-03-12,17:15,Chris Anderson,Account Changes,16,183,Resolved,4
CALL-1074,2024-05-04,10:51,Lisa Martinez,Technical Support,67,286,Resolved,2
CALL-1075,2024-02-18,09:46,Amanda Taylor,Technical Support,26,227,Resolved,5
CALL-1076,2024-01-05,09:14,Amanda Taylor,Account Changes,15,329,Resolved,5
CALL-1077,2024-04-18,19:35,David Brown,Technical Support,8,450,Resolved,5
CALL-1078,2024-03-21,09:34,Emily Davis,Billing Inquiry,23,136,Resolved,5
CALL-1079,2024-06-01,11:06,James Wilson,Technical Support,34,501,Escalated,2
CALL-1080,2024-01-12,19:35,Lisa Martinez,Account Changes,53,343,Resolved,5
CALL-1081,2024-05-26,11:30,Chris Anderson,Technical Support,59,399,Callback Scheduled,1
CALL-1082,2024-01-17,12:04,Robert Garcia,Account Changes,35,253,Resolved,4
CALL-1083,2024-03-04,09:48,Amanda Taylor,Account Changes,28,190,Resolved,5
CALL-1084,2024-04-23,11:37,Amanda Taylor,Technical Support,25,300,Escalated,4
CALL-1085,2024-02-23,15:16,Mike Chen,Billing Inquiry,48,198,Resolved,5
CALL-1086,2024-06-01,13:02,James Wilson,Technical Support,16,664,Resolved,4
CALL-1087,2024-03-08,16:40,Robert Garcia,Account Changes,44,209,Resolved,5
CALL-1088,2024-03-09,17:04,Sarah Johnson,Billing Inquiry,13,263,Resolved,4
CALL-1089,2024-02-01,13:19,Amanda Taylor,General Inquiry,5,119,Resolved,3
CALL-1090,2024-04-20,16:38,Lisa Martinez,Billing Inquiry,28,260,Callback Scheduled,2
CALL-1091,2024-01-06,19:43,Lisa Martinez,Account Changes,26,195,Resolved,5
CALL-1092,2024-03-12,10:37,Amanda Taylor,Account Changes,36,241,Resolved,4
CALL-1093,2024-06-20,09:10,David Brown,Technical Support,5,425,Resolved,5
CALL-1094,2024-01-10,13:20,Lisa Martinez,Technical Support,44,396,Resolved,5
CALL-1095,2024-06-17,17:29,Amanda Taylor,Billing Inquiry,5,171,Resolved,5
CALL-1096,2024-01-14,10:35,Emily Davis,General Inquiry,16,141,Resolved,5
CALL-1097,2024-06-04,16:45,Emily Davis,Technical Support,45,431,Resolved,5
CALL-1098,2024-01-30,13:07,Emily Davis,Technical Support,20,273,Resolved,5
CALL-1099,2024-04-30,11:35,Emily Davis,Technical Support,66,349,Callback Scheduled,3
CALL-1100,2024-03-11,16:54,Amanda Taylor,Technical Support,28,323,Resolved,5
CALL-1101,2024-05-30,15:42,Chris Anderson,Complaint,23,334,Resolved,5
CALL-1102,2024-04-06,13:20,James Wilson,General Inquiry,26,155,Callback Scheduled,2
CALL-1103,2024-03-22,16:45,Amanda Taylor,Technical Support,5,219,Unresolved,2
CALL-1104,2024-01-10,09:37,David Brown,Complaint,40,231,Escalated,3
CALL-1105,2024-02-06,12:41,Emily Davis,Billing Inquiry,28,138,Resolved,4
CALL-1106,2024-01-21,17:54,Jennifer White,Technical Support,12,603,Escalated,4
CALL-1107,2024-01-10,15:15,Lisa Martinez,General Inquiry,44,81,Resolved,5
CALL-1108,2024-01-26,13:44,Lisa Martinez,Complaint,59,345,Resolved,4
CALL-1109,2024-02-07,11:26,Robert Garcia,Account Changes,50,280,Resolved,4
CALL-1110,2024-06-23,11:58,Robert Garcia,Billing Inquiry,30,189,Resolved,3
CALL-1111,2024-04-29,18:43,Jennifer White,Billing Inquiry,7,197,Resolved,5
CALL-1112,2024-04-18,16:29,Lisa Martinez,Billing Inquiry,7,221,Resolved,5
CALL-1113,2024-05-27,11:44,Lisa Martinez,Billing Inquiry,54,132,Resolved,5
CALL-1114,2024-01-13,18:47,Chris Anderson,Complaint,53,210,Resolved,5
CALL-1115,2024-02-26,15:39,Lisa Martinez,Account Changes,39,136,Escalated,3
